study_period,femaleID,age,rank
mating2018,Kil,14,1
mating2018,Kit,7,2
mating2018,Koh,12,3
mating2018,Kur,17,4
mating2018,Kun,6,5
mating2018,Kor,8,6
mating2018,Ntr,10,7
mating2018,Ten,10,8
mating2018,Aka,12,9
mating2018,Ako,9,10
mating2018,Tam,13,11
mating2018,Tot,10,12
mating2018,Hen,10,13
mating2018,Hot,10,14
mating2018,Mik,15,15
mating2018,Mal,8,16
mating2018,Mei,10,17
nonmating2019,Kil,14,1
nonmating2019,Kit,7,2
nonmating2019,Koh,12,3
nonmating2019,Kur,17,4
nonmating2019,Kun,6,5
nonmating2019,Kor,8,6
nonmating2019,Ntr,10,7
nonmating2019,Ten,10,8
nonmating2019,Aka,12,9
nonmating2019,Ako,9,10
nonmating2019,Tam,13,11
nonmating2019,Tot,10,12
nonmating2019,Hen,10,13
nonmating2019,Hot,10,14
nonmating2019,Mik,15,15
nonmating2019,Mal,8,16
nonmating2019,Mei,10,17
mating2019,Kil,15,1
mating2019,Kit,8,2
mating2019,Koh,13,3
mating2019,Kur,18,4
mating2019,Kun,7,5
mating2019,Kor,9,6
mating2019,Ntr,11,7
mating2019,Ten,11,8
mating2019,Aka,13,9
mating2019,Ako,10,10
mating2019,Tam,14,11
mating2019,Tot,11,12
mating2019,Hen,11,13
mating2019,Hot,11,14
mating2019,Mik,16,15
mating2019,Mif,6,16
mating2019,Mal,9,17
mating2019,Mei,11,18
nonmating2020,Kil,15,1
nonmating2020,Kit,8,2
nonmating2020,Koh,13,3
nonmating2020,Kur,18,4
nonmating2020,Kun,7,5
nonmating2020,Kor,9,6
nonmating2020,Ntr,11,7
nonmating2020,Ten,11,8
nonmating2020,Aka,13,9
nonmating2020,Ako,10,10
nonmating2020,Tam,14,11
nonmating2020,Tot,11,12
nonmating2020,Hen,11,13
nonmating2020,Hot,11,14
nonmating2020,Mik,16,15
nonmating2020,Mif,6,16
nonmating2020,Mal,9,17
nonmating2020,Mei,11,18
mating2020,Kil,16,1
mating2020,Kit,9,2
mating2020,Koh,14,3
mating2020,Coc,6,4
mating2020,Kun,8,5
mating2020,Kor,10,6
mating2020,Ntr,12,7
mating2020,Ntm,6,8
mating2020,Ten,12,9
mating2020,Aka,14,10
mating2020,Anz,6,11
mating2020,Ako,11,12
mating2020,Tam,15,13
mating2020,Tot,12,14
mating2020,Trt,6,15
mating2020,Hen,12,16
mating2020,Hot,12,17
mating2020,Mik,17,18
mating2020,Mif,7,19
mating2020,Mal,10,20
mating2020,Mei,12,21
nonmating2021,Kil,16,1
nonmating2021,Kit,9,2
nonmating2021,Koh,14,3
nonmating2021,Coc,6,4
nonmating2021,Kun,8,5
nonmating2021,Kor,10,6
nonmating2021,Ntr,12,7
nonmating2021,Ntm,6,8
nonmating2021,Ten,12,9
nonmating2021,Aka,14,10
nonmating2021,Anz,6,11
nonmating2021,Ako,11,12
nonmating2021,Tam,15,13
nonmating2021,Tot,12,14
nonmating2021,Trt,6,15
nonmating2021,Hen,12,16
nonmating2021,Hot,12,17
nonmating2021,Mik,17,18
nonmating2021,Mif,7,19
nonmating2021,Mal,10,20
nonmating2021,Mei,12,21
mating2021,Kil,17,1
mating2021,Cur,5,2
mating2021,Kit,10,3
mating2021,Koh,15,4
mating2021,Coc,7,5
mating2021,Kun,9,6
mating2021,Kor,11,7
mating2021,Ntr,13,8
mating2021,Ntm,7,9
mating2021,Ten,13,10
mating2021,Yun,5,11
mating2021,Aka,15,12
mating2021,Anz,7,13
mating2021,Ako,12,14
mating2021,Tot,13,15
mating2021,Trt,7,16
mating2021,Hen,13,17
mating2021,Hot,13,18
mating2021,Har,6,19
mating2021,Mik,18,20
mating2021,Mif,8,21
mating2021,Mal,11,22
mating2021,Mei,13,23
nonmating2022,Kil,17,1
nonmating2022,Cur,5,2
nonmating2022,Kit,10,3
nonmating2022,Koh,15,4
nonmating2022,Coc,7,5
nonmating2022,Kun,9,6
nonmating2022,Kor,11,7
nonmating2022,Ntr,13,8
nonmating2022,Ntm,7,9
nonmating2022,Ten,13,10
nonmating2022,Yun,5,11
nonmating2022,Aka,15,12
nonmating2022,Anz,7,13
nonmating2022,Ako,12,14
nonmating2022,Tot,13,15
nonmating2022,Trt,7,16
nonmating2022,Hen,13,17
nonmating2022,Hot,13,18
nonmating2022,Har,6,19
nonmating2022,Mik,18,20
nonmating2022,Mif,8,21
nonmating2022,Mal,11,22
nonmating2022,Mei,13,23
